phi,subsystem,etaBefore,etaAfter,X0Before,X0After,deltaX0,deltaLambdaI,topVolume,topVolumeDeltaX0
1.5707963267949,OHCAL,-0.025,-0.02,35.17710078,37.18066386,2.003563074,0.2101790138,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,2.003598045
1.5707963267949,OHCAL,0.015,0.02,37.18066429,35.17710152,-2.003562774,-0.2101789823,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-2.003597745
0,OHCAL,-0.935,-0.93,46.00333269,44.11539846,-1.887934229,-0.1988005646,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.322425595
0,OHCAL,0.925,0.93,44.10059054,45.98846948,1.887878947,0.1987676075,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.322272228
0,OHCAL,-1.045,-1.04,43.00539742,44.71070497,1.705307547,0.199316992,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.280031111
0,OHCAL,1.035,1.04,44.71041704,43.00522494,-1.7051921,-0.1993084555,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.280030746
1.5707963267949,OHCAL,-1.07,-1.065,8.61607988,10.12383052,1.507750644,0.1578922497,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.508330877
0,OHCAL,-1.05,-1.045,41.50840061,43.00539742,1.496996813,0.1838474005,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.277345903
0,OHCAL,1.04,1.045,43.00522494,41.50822856,-1.49699638,-0.1838473462,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.277345542
0,OHCAL,-1.055,-1.05,40.0142557,41.50840061,1.494144906,0.1835090857,av_13_impr_23_OuterHCalSector_Steel_pv_0,1.274789101
0,OHCAL,1.045,1.05,41.50822856,40.01408408,-1.494144479,-0.183509032,av_13_impr_23_OuterHCalSector_Steel_pv_0,-1.274788745
0,OHCAL,1.02,1.025,51.06220387,49.57361794,-1.488585927,-0.1516447499,av_13_impr_23_OuterHCalSector_Steel_pv_0,-0.8385134232
0,OHCAL,-1.03,-1.025,49.57390735,51.06217292,1.488265578,0.1516075295,av_13_impr_23_OuterHCalSector_Steel_pv_0,0.8383669485
1.5707963267949,OHCAL,-0.345,-0.34,38.78294288,37.3456128,-1.437330083,-0.1510927056,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.43672409
1.5707963267949,OHCAL,0.335,0.34,37.34595765,38.78294328,1.436985634,0.1510565691,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.436379641
1.5707963267949,OHCAL,-1.045,-1.04,14.51399396,15.92310082,1.409106861,0.1475524511,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.409668854
1.5707963267949,OHCAL,1.06,1.065,36.08111137,34.67594062,-1.405170753,-0.1468695829,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.406276954
1.5707963267949,OHCAL,-1.035,-1.03,17.30765867,18.69451051,1.386851832,0.1452212172,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.38740663
1.5707963267949,OHCAL,-1.065,-1.06,10.12383052,11.5103291,1.386498581,0.1451733645,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.387075137
1.5707963267949,OHCAL,-0.38,-0.375,37.34340917,38.72973715,1.386327975,0.1451085505,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.38699912
1.5707963267949,OHCAL,0.37,0.375,38.72942105,37.34309654,-1.386324512,-0.1451081871,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,-1.386995656
1.5707963267949,OHCAL,-1.04,-1.035,15.92310082,17.30765867,1.384557852,0.1449787714,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.38511624
1.5707963267949,OHCAL,-1.06,-1.055,11.5103291,12.88452731,1.374198209,0.1438847333,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.374771104
1.5707963267949,OHCAL,-1.075,-1.07,7.246156267,8.61607988,1.369923613,0.1434308093,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.370507537
1.5707963267949,OHCAL,-1.085,-1.08,3.543643351,4.913402328,1.369758977,0.143409854,av_14_impr_1_OuterHCalChimneySector_Steel_pv_0,1.370350327
