region,eta,subsystem,nsamples,meanX0,rmsX0,meanLambdaI,rmsLambdaI
SECTOR,-0.8,MAGNET,122,1.98937387885207,0.167289019666984,0.455029408621519,0.0382640108514244
SECTOR,-0.8,IHCAL,122,1.49984958333731,0.153061093500314,0.39323669260073,0.0350156308937429
SECTOR,-0.8,OHCAL,122,41.6069450311975,2.18181605114581,4.53852058425406,0.231069444418208
SECTOR,-0.8,OTHER,122,0.00373335566396344,0.0129954724382906,0.000869689262793193,0.00309712392313621
SECTOR,-0.78,PIPE,136,0.00311415517959202,0.00215177347125855,0.00258415891072632,0.000263491176852811
SECTOR,-0.78,MVTX,136,0.0298328823069429,0.0201547948403537,0.0118573625082112,0.00498601803748872
SECTOR,-0.78,INTT,136,0.078028897172474,0.0152498773047823,0.0338601536472411,0.00685737701012352
SECTOR,-0.78,TPC,136,0.0549177140023235,0.000856170292691742,0.0201091966946912,0.000264842429894393
SECTOR,-0.78,EMCAL,136,21.210144484942,2.42016452491558,0.926408297038439,0.0859826847985396
SECTOR,-0.78,MAGNET,136,1.8892420334181,0.133161281059252,0.432126255576053,0.0304579745495811
SECTOR,-0.78,IHCAL,136,1.45439914204999,0.135891909100379,0.382608840917062,0.0314080988958544
SECTOR,-0.78,OHCAL,136,41.9662637290297,3.01475217002417,4.57516118641307,0.322291400097561
SECTOR,-0.78,OTHER,136,0.00367397322972674,0.0110090900733201,0.000868992555933186,0.00275426272955095
SECTOR,-0.76,PIPE,122,0.00281463619102838,7.35015725659893e-08,0.00251917631232496,6.57858595651397e-08
SECTOR,-0.76,MVTX,122,0.0297137048537699,0.0172662961988231,0.0124091985219751,0.00487623470876403
SECTOR,-0.76,INTT,122,0.0750836016033154,0.0191230626803797,0.0328715072547759,0.00799375675054148
SECTOR,-0.76,TPC,122,0.0540964233636225,0.00048343425745971,0.0198149224020832,0.000146624606799173
SECTOR,-0.76,EMCAL,122,20.3666657943945,1.88818272523064,0.892393111438491,0.073526064934326
SECTOR,-0.76,MAGNET,122,1.85365008540606,0.130036787912451,0.423985310715075,0.0297433093556968
SECTOR,-0.76,IHCAL,122,1.42355148760775,0.114513546364969,0.375255990994276,0.0283323423779839
SECTOR,-0.76,OHCAL,122,42.0019302003291,3.20338019933753,4.57545901015455,0.341259375428577
SECTOR,-0.76,OTHER,122,0.00544644563148109,0.0145661326722421,0.00125423088620562,0.00347441429881831
SECTOR,-0.74,PIPE,140,0.00305001009365624,0.00208117133904846,0.00251793877228226,0.000253177378752276
SECTOR,-0.74,MVTX,140,0.0285968200772725,0.0184574408616472,0.0117765392542323,0.00539289407785782
SECTOR,-0.74,INTT,140,0.0752396574098004,0.0177042253847761,0.0329027797702989,0.00762094734682898
SECTOR,-0.74,TPC,140,0.0535263009796046,0.000910196771786015,0.019598993552035,0.000276060791543242
SECTOR,-0.74,EMCAL,140,21.2461748172259,2.42159150950296,0.923951597782811,0.0936322882057338
SECTOR,-0.74,MAGNET,140,1.78954796144549,0.0987226964661404,0.409323234437088,0.0225808384577758
SECTOR,-0.74,IHCAL,140,1.41332429827603,0.123006944136419,0.371543144560696,0.0281502632449283
SECTOR,-0.74,OHCAL,140,42.8945338024687,3.22428190718701,4.67751401427416,0.34675068684004
SECTOR,-0.74,OTHER,140,0.00356694255783795,0.0100803752043929,0.000877492619911178,0.00279371571098894
SECTOR,-0.72,PIPE,136,0.00299773003066287,0.00207137991885847,0.00248754390419209,0.00025365280104218
SECTOR,-0.72,MVTX,136,0.0279870314540625,0.0170762282702296,0.0116412108481082,0.00495698079526435
SECTOR,-0.72,INTT,136,0.0732921219324115,0.0167135004461773,0.031752008023652,0.00724794336323922
SECTOR,-0.72,TPC,136,0.0529550945571568,0.00114419965160661,0.0193840817912721,0.000347033379261811
SECTOR,-0.72,EMCAL,136,20.4699825274533,1.91689682699174,0.893909614360197,0.0776318350153805
SECTOR,-0.72,MAGNET,136,1.74570337603759,0.0653540183832025,0.399294664150982,0.0149484220397503
SECTOR,-0.72,IHCAL,136,1.40089096778984,0.124495268473402,0.368185242244735,0.02844123788697
SECTOR,-0.72,OHCAL,136,43.8049632770344,3.43447039064892,4.77826318014684,0.369607289339898
SECTOR,-0.72,OTHER,136,0.00439688829857986,0.0134457200191255,0.00108873252821161,0.00349021348641554
